;General Science & Technology;Information & Communication Technologies;Engineering;Physics & Astronomy;Agriculture;Fisheries & Forestry;Economics & Business;Clinical Medicine;Enabling & Strategic Technologies;Earth & Environmental Sciences;Biology;Chemistry;Public Health & Health Services;Biomedical Research;Social Sciences;Built Environment & Design
A;1;1;3;1;8;8;2;9;2;1;1;2;2;6;1;1			
B;2;3;5;1;5;5;1;2;3;1;4;2;1;1;2;1			
C;1;2;3;4;10;10;2;4;6;2;5;4;2;2;1;1			
D;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			
E;1;3;1;3;3;3;1;2;2;1;1;3;1;1;1;1			
F;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1			
G;10;32;14;2;9;9;10;5;4;2;5;4;1;3;3;2			
H;5;15;9;1;6;6;1;1;2;2;3;1;1;2;1;1			
Y;1;3;2;2;2;2;1;4;1;2;1;1;1;2;1;1			
