journ_id,formal_name,subd_id
92,"2004 International Symposium On Intelligent Multimedia, Video And Speech Processing, Isimp 2004",136
93,2004 International Symposium On System-On-Chip Proceedings,121
94,"2004 International Symposium On Technology And Society, Istas '04 Globalizing Technological Education",446
95,"2004 International Symposium On Underwater Technology, Ut'04 - Proceedings",382
96,"2004 International Workshop On Ultra Wideband Systems; Joint With Conference On Ultra Wideband Systems And Technologies, Joint Uwbst And Iwuwbs 2004",5
97,2004 International Workshop On Wireless Ad-Hoc Networks,118
98,2004 Itg Workshop On Smart Antennas - Proceedings,5
99,"2004 Joint Conference Of The 10th Asia-Pacific Conference On Communications And The 5th International Symposium On Multi-Dimensional Mobile Communications Proceedings, Apcc/Mdmc'04",5
100,2004 Large Engineering Systems Conference On Power Engineering - Conference Proceedings; Theme: Energy For The Day After Tomorrow,398
101,2004 Nsti Nanotechnology Conference And Trade Show - Nsti Nanotech 2004,448
102,"2004 Rf And Microwave Conference, Rfm 2004 - Proceedings",65
103,"2004 Second International Workshop, Ultrawideband And Ultrashort Impulse Signals Proceedings, Uwbusis 2004",65
104,"2004 Semiconductor Manufacturing Technology Workshop Proceedings, Smtw",439
105,2004 Sensor Array And Multichannel Signal Processing Workshop,5
106,"2004 Seventh Seminar On Neural Network Applications In Electrical Engineering - Proceedings, Neurel 2004",137
107,2004 Sme Annual Meeting Preprints,437
108,2004 Tappi Coating And Graphic Arts Conference And Exhibit,440
109,2004 Tappi Decorative And Industrial Laminates Symposium,155
110,2004 Tappi Paper Summit - Spring Technical And International Environmental Conference,480
111,2004 Topical Meeting On Silicon Monolithic Integrated Circuits In Rf Systems: Digest Of Papers,385
112,"2004 Twelfth IEEE International Workshop On Quality Of Service, Iwqos 2004",159
113,"2004 Winter Meeting - Technical And Symposium Papers, American Society Of Heating, Refrigerating And Air-Conditioning Engineers",416
114,2004 Wireless Telecommunications Symposium - Wts 2004,118
115,"2005 1st IEEE International Symposium On New Frontiers In Dynamic Spectrum Access Networks, Dyspan 2005",118
116,"2005 1st International Conference On Multimedia Services Access Networks, Msan05",118
117,"2005 2nd IEEE Consumer Communications And Networking Conference, Ccnc2005",118
118,"2005 4th International Symposium On Information Processing In Sensor Networks, Ipsn 2005",159
119,2005 58th Annual Conference For Protective Relay Engineers,455
120,"2005 9th Ifip/IEEE International Symposium On Integrated Network Management, Im 2005",428
121,"2005 Aiche Spring National Meeting, Conference Proceedings",417
122,"2005 Ans Topical Meeting On Decommissioning, Decontamination, And Reutilization",522
123,2005 Beijing International Conference On Imaging: Technology And Applications For The 21st Century,440
124,2005 Cigre/IEEE Pes International Symposium,153
125,"2005 Conference On Lasers And Electro-Optics, Cleo",46
126,"2005 Conference On Optical Network Design And Modelling: Towards The Broadband-For-All Era, Ondm 2005",428
127,2005 Fall Technical Conference Of The Asme Internal Combustion Engine Division,459
128,"2005 First International Conference On Neural Interface And Control, Proceedings",412
129,2005 Heavy Minerals Conference Proceedings,437
130,"2005 IEEE Annual Conference On Wireless And Microwave Technology, Wamicon 2005 - Conference Proceedings",385
131,"2005 IEEE Computational Systems Bioinformatics Conference, Workshops And Poster Abstracts",146
132,"2005 IEEE Conference - Avionics Fiber-Optics And Photonics, Avfop 2005",219
133,"2005 IEEE Congress On Evolutionary Computation, IEEE Cec 2005 Proceedings",208
134,2005 IEEE Electric Ship Technologies Symposium,455
135,"2005 IEEE International Conference On Dielectric Liquids, Icdl 2005",253
136,2005 IEEE International Conference On Electric Machines And Drives,455
137,"2005 IEEE International Conference On Wireless And Mobile Computing, Networking And Communications, Wimob'2005",118
138,2005 IEEE International Workshop On Intelligent Signal Processing - Proceedings,450
139,"2005 IEEE Networking, Sensing And Control, Icnsc2005 - Proceedings",3
140,2005 IEEE Power Engineering Society General Meeting,153
141,2005 IEEE Workshop On Advanced Robotics And Its Social Impacts,225
142,2005 IEEE Workshop On Machine Learning For Signal Processing,186
143,"2005 IEEE Workshop On Microelectronics And Electron Devices, Wmed",66
144,2005 IEEE/Aces International Conference On Wireless Communications And Applied Computational Electromagnetics,484
145,"2005 International Conference On Advanced Robotics, Icar '05, Proceedings",225
146,"2005 International Conference On Integration Of Knowledge Intensive Multi-Agent Systems, Kimas'05: Modeling, Exploration, And Engineering",428
147,"2005 International Conference On Machine Learning And Cybernetics, Icmlc 2005",3
148,"2005 International Conference On Physics And Control, Physcon 2005, Proceedings",108
149,"2005 International Conference On Services Systems And Services Management, Proceedings Of Icsssm'05",58
150,2005 International Conference On Wireless And Optical Communications Networks,118
151,"2005 International Oil Spill Conference, Iosc 2005",508
152,2005 International Petroleum Technology Conference Proceedings,141
153,"2005 International Symposium On Empirical Software Engineering, Isese 2005",56
154,"2005 International Symposium On Power Line Communications And Its Applications, Isplc 2005",299
155,"2005 Non-Volatile Memory Technology Symposium, Nvmts05",439
156,2005 Nsti Nanotechnology Conference And Trade Show - Nsti Nanotech 2005 Technical Proceedings,185
157,"2005 Proceedings Of The 4th Asme Conference On Integrated Nanosystems: Design, Synthesis, And Applications",38
158,2005 Sme Annual Meeting: Got Mining - Preprints,437
159,"2005 Spanish Conference On Electron Devices, Proceedings",38
160,"2005 Spe Asia Pacific Health, Safety And Environment Conference And Exhibition - Proceedings",507
161,2005 Spe Asia Pacific Oil And Gas Conference And Exhibition - Proceedings,141
162,2005 Spe-Icota (International Coiled Tubing Association)Coiled Tubing Conference And Exhibition - Proceedings,266
163,2005 Tappi Coating Conference And Exhibit,480
164,2005 Tappi Practical Papermaking Conference,480
165,"2005 Workshop On Computational Electromagnetics In Time-Domain, Cem-Td 2005",484
166,22nd Picture Coding Symposium,370
167,"23rd Annual Southern African Transport Conference, Satc 2004: Getting Recognition For The Importance Of Transport",34
168,"24th Annual Southern African Transport Conference, Satc 2005: Transport Challenges For 2010",34
169,"24th International Congress On Applications Of Lasers And Electro-Optics, Icaleo 2005 - Congress Proceedings",396
170,26th Annual Canadian Nuclear Society Conference And 29th Cns/Cna Student Conference,522
171,26th Conference On Agricultural And Forest Meteorology,404
172,26th Conference On Hurricanes And Tropical Meteorology,97
173,"28th International Spring Seminar On Electronics Technology: Meeting The Challenges Of Electronics Technology Progress, 2005",223
174,"2nd IEEE International Conference On Industrial Informatics, Indin'04",409
175,2nd International Conference On Aspect-Oriented Software Development,458
176,"2nd International Conference On Electrical And Electronics Engineering, Iceee And Xi Conference On Electrical Engineering, Cie 2005",455
177,2nd International IEEE Embs Conference On Neural Engineering,412
178,2nd International Meeting On Ironmaking And 1st International Symposium On Iron Ore And Parallel Event- 5th Japan-Brazil Symposium On Dust Processing-Energy-Environment On Metallurgical Industries,406
179,30th European Rotorcraft Forum,409
180,31st Annual Acm Siguccs Fall Conference (Siguss Conference Proceedings,212
181,31st European Rotorcraft Forum,409
182,"39th International Universities Power Engineering Conference, Upec 2004 - Conference Proceedings",398
183,"3rd Acs/IEEE International Conference On Computer Systems And Applications, 2005",3
184,"3rd International IEEE Northeast Workshop On Circuits And Systems Conference, Newcas 2005",481
185,43rd Aiaa Aerospace Sciences Meeting And Exhibit - Meeting Papers,70
186,48th Annual Power Industry Symposium- 15th Annual Joint Isa Powid/Epri Controls And Instrumentation Conference,86
187,49th Annual Air Traffic Control Association Conference Proceedings - Fall 2004,404
188,4OR,74
189,4th International Conference Copper 99-Cobre 99,249
190,4th North American Conference On Multiphase Technology,141
191,"54th International Astronautical Congress Of The International Astronautical Federation (Iaf), The International Academy Of Astronautics And The International Institute Of Space Law",409
192,58th Congresso Anual Da Abm (Associacao Brasileira De Metalurgia E Materiais),406
193,"5th IEEE International Vacuum Electronics Conference, Ivec 2004",232
194,"5th International Conference On Antenna Theory And Techniques, 2005",484
195,5th Symposium On The Urban Environment,404
196,"63rd Arftg Conference Digest, Spring 2004, Automatic Rf Techniques Group: On Wafer Characterization",385
197,65th Arftg Microwave Measurements Conference Digest 2005,385
198,"6th Annual International Siberian Workshop And Tutorials On Electron Devices And Materials, Edm 2005",552
199,6th International Conference On Advanced Communication Technology: Broadband Convergence Network Infrastructure,428
200,"7th World Congress Of Chemical Engineering, Glasgow2005, Incorporating The 5th European Congress Of Chemical Engineering",36
201,"85th Ams Annual Meeting, American Meteorological Society - Combined Preprints",97
202,8th Korea-Russia International Symposium On Science And Technology - Proceedings: Korus 2004,552
203,9th European Conference On Speech Communication And Technology,186
204,A + U-ARCHITECTURE AND URBANISM,27
205,A Collection Of Technical Papers - 13th Aiaa/Cira International Space Planes And Hypersonic Systems And Technologies Conference,70
206,A Collection Of Technical Papers - 1st Space Exploration Conference: Continuing The Voyage Of Discovery,409
207,A Collection Of The 22nd Aiaa International Communications Satellite Systems Conference And Exhibit Technical Papers,5
